rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
106,A,61221,A Passage to India,E. M. Forster,1924,novel,gutenberg,3136,26,yes,,new,g61221
107,A,22452,Howards End,E. M. Forster,1910,novel,gutenberg,5073,19,yes,family drama,new,g22452
108,A,1874,The Railway Children,E. Nesbit,1906,novel,gutenberg,10995,,no,,have,g1874
109,A,1063,The Cask of Amontillado,Edgar Allan Poe,1846,short story,gutenberg,49903,,no,,have,g1063
110,A,78,Tarzan of the Apes,Edgar Rice Burroughs,1912,novel,gutenberg,3571,26,yes,fantasy;adventure fiction,have,g78
111,A,4517,Ethan Frome,Edith Wharton,1911,novella,gutenberg,7695,18,yes,American realism,new,g4517
112,A,541,The Age of Innocence,Edith Wharton,1920,novel,gutenberg,5356,,no,,have,g541
113,A,284,The House of Mirth,Edith Wharton,1905,novel,gutenberg,4060,,no,,have,g284
114,A,201,Flatland,Edwin A. Abbott,1884,novella,gutenberg,4122,35,yes,science fiction;mathematical fiction;satirical fiction,new,g201
115,A,1450,Pollyanna,Eleanor H. Porter,1913,novel,gutenberg,3895,33,yes,children's fiction,have,g1450
116,A,394,Cranford,Elizabeth Gaskell,1853,novel,gutenberg,,,,,,
117,A,4276,North and South,Elizabeth Gaskell,1855,novel,gutenberg,,,,,,
118,A,16389,The Enchanted April,Elizabeth von Arnim,1922,novel,gutenberg,,,,,,
119,A,61085,In Our Time,Ernest Hemingway,1925,short story collection,gutenberg,,,,,,
120,A,396,"The Lady, or the Tiger?",Frank R. Stockton,1882,short story,gutenberg,1915,12,yes,,new,g396
121,A,23,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845,nonfiction,gutenberg,,,,,,
122,A,600,Notes from Underground,Fyodor Dostoevsky,1864,novella,gutenberg,13537,50,yes,philosophical fiction,new,g600
123,A,2638,The Idiot,Fyodor Dostoevsky,1869,novel,gutenberg,12869,70,yes,,new,g2638
