rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
72,1952,The Yellow Wallpaper,Charlotte Perkins Gilman,29497,11,PS,Gothic Fiction; Category: Short Stories; Category: American Literature,1999-11-01,en,auto-scored,1,g1952
73,72,"Thuvia, maid of Mars",Edgar Rice Burroughs,28811,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Romance; Category: Adventure; Category: American Literature,1993-07-01,en,auto-scored,1,g72
74,45,Anne of Green Gables,Lucy Maud Montgomery,27049,9,PZ,Canada; Children's Literature; Category: Children & Young Adult Reading; Category: Novels; Category: Classics of Literature,2008-06-27,en,hand-picked,1,b22
75,7326,The Yeoman Adventurer,George W. Gough,27016,11,PR,Category: Historical Novels; Category: Romance; Category: Adventure; Category: British Literature,2005-01-01,en,auto-scored,1,g7326
76,1400,Great Expectations,Charles Dickens,26966,9,PR,Best Books Ever Listings; Category: Novels; Category: Classics of Literature; Category: British Literature,1998-07-01,en,hand-picked,1,b10
77,120,Treasure Island,Robert Louis Stevenson,26070,11,PR; PZ,"Children's Literature; Historical Fiction; Best Books Ever Listings; Pirates, Buccaneers, Corsairs, etc.; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature",2006-02-26,en,hand-picked,1,b16
78,844,The Importance of Being Earnest,Oscar Wilde,25392,9,PR,Plays; Category: Plays/Films/Dramas; Category: British Literature,1997-03-01,en,hand-picked,2,b47
79,205,Walden,Henry David Thoreau,24578,9,PS,"Category: Essays, Letters & Speeches; Category: American Literature; Category: Philosophy & Ethics",1995-01-01,en,hand-picked,2,b26
80,23784,The History of Sir Richard Calmady: A Romance,Lucas Malet,24311,15,PR,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: British Literature",2007-12-09,en,auto-scored,1,g23784
81,16,Peter Pan,J. M. Barrie,23507,11,PR; PZ,Children's Literature; Movie Books; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature,2008-06-25,en,hand-picked,1,b24
82,121,Northanger Abbey,Jane Austen,23143,11,PR,Gothic Fiction; Category: Novels; Category: Classics of Literature; Category: British Literature,1994-04-01,en,auto-scored,1,g121
