rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
268,5240,The Confessions of Harry Lorrequer — Complete,Charles Lever,817,11,PR,Category: Humour; Category: Adventure; Category: Novels; Category: British Literature,2004-06-01,en,auto-scored,1,g5240
269,1083,The Arrow of Gold: A Story Between Two Notes,Joseph Conrad,814,15,PR,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: British Literature",1997-10-01,en,auto-scored,1,g1083
270,2344,The Adventure of the Cardboard Box,Arthur Conan Doyle,813,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2000-10-01,en,auto-scored,1,g2344
271,864,The Master of Ballantrae: A Winter's Tale,Robert Louis Stevenson,811,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,1997-03-01,en,auto-scored,1,g864
272,5396,The Crisis — Complete,Winston Churchill,808,15,PS,"US Civil War; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: American Literature",2004-10-19,en,auto-scored,1,g5396
273,322,St. Ives: Being the Adventures of a French Prisoner in England,Robert Louis Stevenson,808,11,PR,Historical Fiction; Category: Historical Novels; Category: Romance; Category: Adventure; Category: Novels; Category: British Literature,1995-09-01,en,auto-scored,1,g322
274,5745,She and Allan,H. Rider Haggard,808,11,PR,Adventure; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,2006-04-22,en,auto-scored,1,g5745
275,2568,Trent's Last Case,E. C. Bentley,799,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2001-03-01,en,auto-scored,1,g2568
276,706,The Amateur Cracksman,E. W. Hornung,795,11,PR,"Crime Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1996-11-01,en,auto-scored,1,g706
277,3479,The Metal Monster,Abraham Merritt,793,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,2002-10-01,en,auto-scored,1,g3479
278,3055,The Wood Beyond the World,William Morris,785,11,PR,Fantasy; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: British Literature,2002-02-01,en,auto-scored,1,g3055
279,839,New Arabian Nights,Robert Louis Stevenson,781,11,PR,Category: Short Stories; Category: Adventure; Category: British Literature,1997-03-01,en,auto-scored,1,g839
280,746,Burning Daylight,Jack London,780,11,PS,Category: Adventure; Category: Novels; Category: American Literature,1996-12-01,en,auto-scored,1,g746
281,2799,Eben Holden: A Tale of the North Country,Irving Bacheller,778,17,PS,"Bestsellers, American, 1895-1923; Category: Adventure; Category: Novels; Category: American Literature",2001-09-01,en,auto-scored,1,g2799
282,2014,The Lodger,Marie Belloc Lowndes,778,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2005-03-13,en,auto-scored,1,g2014
283,611,Prester John,John Buchan,777,11,PR,Adventure; Movie Books; Category: Adventure; Category: Novels; Category: British Literature,1996-08-01,en,auto-scored,1,g611
284,405,Adventures and Letters of Richard Harding Davis,Richard Harding Davis,772,15,PS,"Bestsellers, American, 1895-1923; Category: Biographies; Category: Essays, Letters & Speeches; Category: American Literature",1996-01-01,en,auto-scored,1,g405
285,3465,Under Two Flags,Ouida,769,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2006-04-06,en,auto-scored,1,g3465
286,3199,Mark Twain's Letters — Complete (1853-1910),Mark Twain,767,15,PS,"Bestsellers, American, 1895-1923; Category: Biographies; Category: Essays, Letters & Speeches; Category: American Literature",2004-09-19,en,auto-scored,1,g3199
287,1587,The Black Robe,Wilkie Collins,760,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2006-02-22,en,auto-scored,1,g1587
288,3808,Robur the Conqueror,Jules Verne,757,11,PQ,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: French Literature,2003-03-01,en,auto-scored,1,g3808
289,3294,The sea-hawk,Rafael Sabatini,754,13,PR,"Pirates, Buccaneers, Corsairs, etc.; Movie Books; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: Novels",2002-06-01,en,auto-scored,1,g3294
290,1088,Rolf in the Woods,Ernest Thompson Seton,754,11,PS,Category: Adventure; Category: Novels; Category: American Literature,1997-10-01,en,auto-scored,1,g1088
291,1095,The Light of the Western Stars,Zane Grey,752,11,PS,Western; Category: Adventure; Category: Novels; Category: American Literature,1997-11-01,en,auto-scored,1,g1095
292,2377,The Son of the Wolf,Jack London,752,11,PS,Category: Short Stories; Category: Adventure; Category: American Literature,2000-10-01,en,auto-scored,1,g2377
293,5373,Richard Carvel — Complete,Winston Churchill,751,15,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: American Literature",2004-10-18,en,auto-scored,1,g5373
294,604,Gulliver of Mars,Edwin Lester Arnold,751,11,PR,Science Fiction; Fantasy; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1996-07-01,en,auto-scored,1,g604
295,315,Rhymes of a Red Cross Man,Robert W. Service,750,11,PS,"Bestsellers, American, 1895-1923; Category: Poetry; Category: History - Warfare",1995-08-01,en,auto-scored,1,g315
296,1980,Stories by English Authors: Africa (Selected by Scribners),Various,750,11,PR,"Africa; Short Stories; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: British Literature",2006-03-26,en,auto-scored,1,g1980
297,518,The Enchanted Island of Yew,L. Frank Baum,748,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure,1996-05-01,en,auto-scored,1,g518
298,2043,The Lock and Key Library: The most interesting stories of all nations: American,Various,748,11,PS,"Short Stories; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: American Literature",2000-01-01,en,auto-scored,1,g2043
299,794,The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,E. Nesbit,744,11,PR; PZ,Children's Literature; Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: British Literature,1997-01-01,en,auto-scored,1,g794
300,2343,The Adventure of Wisteria Lodge,Arthur Conan Doyle,743,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2000-10-01,en,auto-scored,1,g2343
301,3782,Huntingtower,John Buchan,742,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2003-02-01,en,auto-scored,1,g3782
302,4380,Under Fire: The Story of a Squad,Henri Barbusse,741,15,PQ,"World War I; Bestsellers, American, 1895-1923; Category: Novels; Category: French Literature",2003-08-01,en,auto-scored,1,g4380
303,3538,The Americanization of Edward Bok,Edward William Bok,740,15,PN,"Bestsellers, American, 1895-1923; Category: Biographies; Category: American Literature",2002-11-01,en,auto-scored,1,g3538
304,502,Desert Gold,Zane Grey,736,11,PS,Western; Category: Adventure; Category: Novels; Category: American Literature,1996-04-01,en,auto-scored,1,g502
305,305,The Count's Millions,Emile Gaboriau,734,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2008-07-02,en,auto-scored,1,g305
306,3091,The Giant Raft,Jules Verne,733,11,PQ,Category: Adventure; Category: Novels; Category: Classics of Literature,2002-02-01,en,auto-scored,1,g3091
307,22158,The Lure of the Mask,Harold MacGrath,732,17,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2007-07-27,en,auto-scored,1,g22158
308,363,The Oakdale Affair,Edgar Rice Burroughs,729,11,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2008-07-11,en,auto-scored,1,g363
309,43241,The Adventures of François,S. Weir Mitchell,727,17,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature",2013-07-17,en,auto-scored,1,g43241
310,298,The Market-Place,Harold Frederic,725,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2008-07-09,en,auto-scored,1,g298
311,3637,The Garden of Allah,Robert Hichens,725,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2006-04-13,en,auto-scored,1,g3637
312,14126,The Marriage of William Ashe,Mrs. Humphry Ward,724,15,PR,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: British Literature",2004-11-22,en,auto-scored,1,g14126
313,6100,Pollyanna Grows Up,Eleanor H. Porter,722,15,PZ; PS,"Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature",2004-07-01,en,auto-scored,1,g6100
314,6267,The Weavers: a tale of England and Egypt of fifty years ago - Complete,Gilbert Parker,722,15,PS,"Egypt; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: British Literature",2004-11-18,en,auto-scored,1,g6267
315,1368,When the World Shook,H. Rider Haggard,722,11,PR,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1998-06-01,en,auto-scored,1,g1368
316,2415,The Mutiny of the Elsinore,Jack London,722,11,PS,Category: Adventure; Category: Novels; Category: American Literature,2000-12-01,en,auto-scored,1,g2415
317,40140,On the Face of the Waters: A Tale of the Mutiny,Flora Annie Webster Steel,721,15,PR,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: British Literature",2012-07-04,en,auto-scored,1,g40140
318,372,"Prince Otto, a Romance",Robert Louis Stevenson,717,11,PR,Category: Romance; Category: Adventure; Category: Novels; Category: British Literature,1995-12-01,en,auto-scored,1,g372
319,3803,File No. 113,Emile Gaboriau,717,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2006-04-13,en,auto-scored,1,g3803
320,1604,The Ebb-Tide: A Trio And Quartette,Robert Louis Stevenson,716,11,PR,Category: Adventure; Category: Novels; Category: British Literature,1999-01-01,en,auto-scored,1,g1604
321,14060,Mr. Britling Sees It Through,H. G. Wells,711,15,PR,"World War I; Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2004-11-16,en,auto-scored,1,g14060
322,452,"Lavengro: The Scholar, the Gypsy, the Priest",George Borrow,711,11,PR,Category: Adventure; Category: Novels; Category: British Literature,1996-03-01,en,auto-scored,1,g452
323,5067,The Rainbow Trail,Zane Grey,711,11,PS,Western; Category: Romance; Category: Adventure; Category: Novels; Category: American Literature,2004-02-01,en,auto-scored,1,g5067
324,1601,The Breaking Point,Mary Roberts Rinehart,709,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1999-01-01,en,auto-scored,1,g1601
325,707,Raffles: Further Adventures of the Amateur Cracksman,E. W. Hornung,706,11,PR,"Crime Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1996-11-01,en,auto-scored,1,g707
326,2345,The Adventure of the Red Circle,Arthur Conan Doyle,705,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2345
327,1975,The Legacy of Cain,Wilkie Collins,703,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-11-01,en,auto-scored,1,g1975
328,807,Hunted Down: The Detective Stories of Charles Dickens,Charles Dickens,698,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1997-02-01,en,auto-scored,1,g807
329,1721,The Trees of Pride,G. K. Chesterton,698,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-04-01,en,auto-scored,1,g1721
330,4405,The Shaving of Shagpat; an Arabian entertainment — Complete,George Meredith,697,11,PR,Category: Science-Fiction & Fantasy; Category: Humour; Category: Adventure; Category: Novels,2004-11-02,en,auto-scored,1,g4405
331,7281,Tom Cringle's Log,Michael Scott,696,11,PR,Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,2005-01-01,en,auto-scored,1,g7281
332,5449,Uarda : a Romance of Ancient Egypt — Complete,Georg Ebers,693,11,PT,Egypt; Historical Fiction; Category: Historical Novels; Category: Romance; Category: Adventure,2004-11-15,en,auto-scored,1,g5449
333,1690,Marie: An Episode in the Life of the Late Allan Quatermain,H. Rider Haggard,689,11,PR,Adventure; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,1999-03-01,en,auto-scored,1,g1690
334,4215,Oak Openings,James Fenimore Cooper,682,11,PS,Category: Historical Novels; Category: Adventure; Category: Novels; Category: American Literature,2003-07-01,en,auto-scored,1,g4215
335,2982,"Mark Twain: A Biography. Volume I, Part 1: 1835-1866",Albert Bigelow Paine,681,11,PS,"Bestsellers, American, 1895-1923",2004-10-04,en,auto-scored,1,g2982
336,6422,"The Life, Adventures & Piracies of the Famous Captain Singleton",Daniel Defoe,680,11,PR,"Crime Nonfiction; Pirates, Buccaneers, Corsairs, etc.; Category: Adventure; Category: Novels; Category: British Literature",2004-09-01,en,auto-scored,1,g6422
337,4603,In the Wilderness,Robert Hichens,678,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2006-04-13,en,auto-scored,1,g4603
338,3180,A Double Barrelled Detective Story,Mark Twain,677,11,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2004-09-16,en,auto-scored,1,g3180
339,1355,"The Underground City; Or, The Black Indies",Jules Verne,676,11,PQ,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: French Literature,1998-06-01,en,auto-scored,1,g1355
340,3071,"The Golden Slipper, and Other Problems for Violet Strange",Anna Katharine Green,676,11,PS,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: American Literature",2002-02-01,en,auto-scored,1,g3071
341,1086,A Horse's Tale,Mark Twain,674,11,PS,Category: Children & Young Adult Reading; Category: Humour; Category: Adventure; Category: Novels; Category: American Literature,1997-10-01,en,auto-scored,1,g1086
342,924,To Be Read at Dusk,Charles Dickens,672,11,PR,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1997-05-01,en,auto-scored,1,g924
343,647,The Dynamiter,Robert Louis Stevenson,671,11,PR,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",1996-09-01,en,auto-scored,1,g647
344,3809,The Master of the World,Jules Verne,670,11,PQ,Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: French Literature,2003-03-01,en,auto-scored,1,g3809
345,552,The People That Time Forgot,Edgar Rice Burroughs,669,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1996-06-01,en,auto-scored,1,g552
346,5075,The Lion of the North: A Tale of the Times of Gustavus Adolphus,G. A. Henty,666,11,PR,Historical Fiction; Children's Fiction; Category: Historical Novels; Category: Adventure; Category: History - European; Category: History - Warfare,2004-02-01,en,auto-scored,1,g5075
347,8407,The Christian: A Story,Sir Hall Caine,665,15,PR,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: British Literature",2005-07-01,en,auto-scored,1,g8407
348,904,Her Father's Daughter,Gene Stratton-Porter,664,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1997-05-01,en,auto-scored,1,g904
349,2389,Bardelys the Magnificent,Rafael Sabatini,664,11,PR,Category: Historical Novels; Category: Romance; Category: Adventure; Category: French Literature,2000-11-01,en,auto-scored,1,g2389
350,1078,The Scouts of the Valley,Joseph A. Altsheler,663,11,PS,Children's Fiction; Category: Historical Novels; Category: Adventure; Category: American Literature,1997-10-01,en,auto-scored,1,g1078
351,46992,Three Plays by Brieux,Eugène Brieux,662,15,PQ,"Bestsellers, American, 1895-1923; Category: Plays/Films/Dramas; Category: French Literature; Nobel Prizes in Literature",2014-09-28,en,auto-scored,1,g46992
352,7195,"The Adventures of Tom Sawyer, Part 3.",Mark Twain,661,11,PS,Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2004-06-29,en,auto-scored,1,g7195
353,5805,The League of the Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,659,11,PR,Adventure; Movie Books; Category: Historical Novels; Category: Adventure; Category: British Literature,2004-06-01,en,auto-scored,1,g5805
354,1235,Captain Fracasse,Théophile Gautier,656,11,PQ,Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,2006-02-19,en,auto-scored,1,g1235
355,15138,A Hoosier Chronicle,Meredith Nicholson,655,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",2005-02-22,en,auto-scored,1,g15138
356,4715,An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,Grant Allen,655,11,PR,"Africa; Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2003-12-01,en,auto-scored,1,g4715
357,7037,Beric the Briton : a Story of the Roman Invasion,G. A. Henty,655,11,PR; PZ,Historical Fiction; Children's Fiction; Category: Historical Novels; Category: Adventure,2004-12-01,en,auto-scored,1,g7037
358,6758,The Adventures of Sir Launcelot Greaves,T. Smollett,654,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2004-09-09,en,auto-scored,1,g6758
359,1627,The Evil Genius: A Domestic Story,Wilkie Collins,653,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-02-01,en,auto-scored,1,g1627
360,46046,Sonia: Between Two Worlds,Stephen McKenna,652,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2014-06-20,en,auto-scored,1,g46046
361,547,Baron Trigault's Vengeance,Emile Gaboriau,652,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2008-07-02,en,auto-scored,1,g547
362,7194,"The Adventures of Tom Sawyer, Part 2.",Mark Twain,650,11,PS,Category: Children & Young Adult Reading; Category: Humour; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2004-06-29,en,auto-scored,1,g7194
363,1167,A Strange Disappearance,Anna Katharine Green,645,11,PS,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels",1998-01-01,en,auto-scored,1,g1167
364,1262,The Heritage of the Desert: A Novel,Zane Grey,645,11,PS,Western; Category: Adventure; Category: Novels; Category: American Literature,1998-04-01,en,auto-scored,1,g1262
365,422,The Romany Rye,George Borrow,643,11,PR,Category: Adventure; Category: Novels; Category: British Literature,1996-02-01,en,auto-scored,1,g422
366,5815,The Great Impersonation,E. Phillips Oppenheim,640,17,PR,"Bestsellers, American, 1895-1923; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2006-04-22,en,auto-scored,1,g5815
367,3766,Coniston — Complete,Winston Churchill,640,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",2004-10-17,en,auto-scored,1,g3766
368,1208,South Sea Tales,Jack London,640,11,PS,Category: Short Stories; Category: Adventure; Category: American Literature,1998-02-01,en,auto-scored,1,g1208
369,2807,To Have and to Hold,Mary Johnston,638,17,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: British Literature",2001-09-01,en,auto-scored,1,g2807
370,715,The Moon Endureth: Tales and Fancies,John Buchan,636,11,PR,Category: Short Stories; Category: Adventure; Category: British Literature,1996-11-01,en,auto-scored,1,g715
371,2154,Around the World in Eighty Days. Junior Deluxe Edition,Jules Verne,634,11,PQ; PZ,Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature,2000-04-01,en,auto-scored,1,g2154
372,4792,In Freedom's Cause : A Story of Wallace and Bruce,G. A. Henty,634,11,PR; PZ,Historical Fiction; Children's Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2003-12-01,en,auto-scored,1,g4792
373,293,Paul Prescott's Charge,Jr. Horatio Alger,628,11,PZ; PS,Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature,2006-03-15,en,auto-scored,1,g293
374,321,Moran of the Lady Letty,Frank Norris,621,11,PS,Category: Adventure; Category: Novels; Category: American Literature,2008-07-09,en,auto-scored,1,g321
375,5128,The Young Carthaginian: A Story of The Times of Hannibal,G. A. Henty,620,11,PR; PZ,Children's Fiction; Category: Historical Novels; Category: Adventure,2004-02-01,en,auto-scored,1,g5128
376,1364,"Tom Swift and His Electric Locomotive; Or, Two Miles a Minute on the Rails",Victor Appleton,619,11,PZ,Children's Book Series; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1998-06-01,en,auto-scored,1,g1364
377,2098,A Thief in the Night: A Book of Raffles' Adventures,E. W. Hornung,618,11,PR,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",2000-03-01,en,auto-scored,1,g2098
378,14513,Audrey,Mary Johnston,617,17,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: American Literature",2004-12-29,en,auto-scored,1,g14513
379,2546,"Hopalong Cassidy's Rustler Round-Up; Or, Bar-20",Clarence Edward Mulford,617,11,PS,Western; Category: Adventure; Category: Novels; Category: American Literature,2001-03-01,en,auto-scored,1,g2546
380,1183,The Return of Dr. Fu-Manchu,Sax Rohmer,616,11,PR,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1998-01-01,en,auto-scored,1,g1183
381,1693,Dangerous Days,Mary Roberts Rinehart,615,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1999-04-01,en,auto-scored,1,g1693
382,3181,The Stolen White Elephant,Mark Twain,615,11,PS,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: Humour; Category: American Literature",2004-09-16,en,auto-scored,1,g3181
383,7060,At Agincourt,G. A. Henty,615,11,PR; PZ,Historical Fiction; Children's Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2004-12-01,en,auto-scored,1,g7060
384,13812,Sir Mortimer: A Novel,Mary Johnston,614,17,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature",2004-10-20,en,auto-scored,1,g13812
385,7639,The Disowned — Complete,Baron Edward Bulwer Lytton Lytton,608,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2004-11-23,en,auto-scored,1,g7639
386,3828,Simon the Jester,William John Locke,606,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2006-04-13,en,auto-scored,1,g3828
387,966,Maid Marian,Thomas Love Peacock,605,11,PR,Historical Fiction; Category: Historical Novels; Category: Romance; Category: Adventure; Category: British Literature,1997-07-01,en,auto-scored,1,g966
388,1730,"Michael, Brother of Jerry",Jack London,605,11,PS,Category: Adventure; Category: Novels; Category: American Literature,1999-05-01,en,auto-scored,1,g1730
389,3777,"Tom Swift and His Electric Rifle; Or, Daring Adventures in Elephant Land",Victor Appleton,605,11,PZ; PS,Children's Book Series; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature,2003-02-01,en,auto-scored,1,g3777
390,2392,Further Adventures of Lad,Albert Payson Terhune,604,11,PZ; PS,Animals-Domestic; Category: Short Stories; Category: Adventure; Category: American Literature,2000-11-01,en,auto-scored,1,g2392
391,1703,Dead Men Tell No Tales,E. W. Hornung,602,11,PR,Crime Fiction; Category: Adventure; Category: Novels,1999-04-01,en,auto-scored,1,g1703
392,2060,The History of Caliph Vathek,William Beckford,602,11,PR,"Fantasy; Gothic Fiction; Category: Science-Fiction & Fantasy; Category: Novels; Category: Mythology, Legends & Folklore; Category: Classics of Literature; Category: British Literature",2000-02-01,en,auto-scored,1,g2060
393,3674,"The Dragon and the Raven; Or, The Days of King Alfred",G. A. Henty,602,11,PR; PZ,Historical Fiction; Children's Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2003-01-01,en,auto-scored,1,g3674
394,6936,Robinson Crusoe — in Words of One Syllable,Daniel Defoe,601,11,PR; PZ,Category: Children & Young Adult Reading; Category: Adventure; Category: Classics of Literature; Category: British Literature,2004-11-01,en,auto-scored,1,g6936
395,7031,The Sheik: A Novel,E. M. Hull,600,17,PR,"Bestsellers, American, 1895-1923; Category: Romance; Category: Adventure; Category: Novels; Category: British Literature",2004-12-01,en,auto-scored,1,g7031
396,43069,The Hundredth Chance,Ethel M. Dell,600,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2013-06-30,en,auto-scored,1,g43069
397,7614,Eugene Aram — Complete,Baron Edward Bulwer Lytton Lytton,600,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2004-11-22,en,auto-scored,1,g7614
398,2514,T. Tembarom,Frances Hodgson Burnett,599,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2001-02-01,en,auto-scored,1,g2514
399,3795,Under the Lilacs,Louisa May Alcott,599,11,PZ; PS,Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature,2003-02-01,en,auto-scored,1,g3795
400,14605,The Devil's Garden,W. B. Maxwell,597,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2005-01-05,en,auto-scored,1,g14605
401,958,Rinkitink in Oz,L. Frank Baum,597,11,PZ,Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure,1997-06-01,en,auto-scored,1,g958
402,14669,Jaffery,William John Locke,596,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2005-01-11,en,auto-scored,1,g14669
403,911,Tales of the Fish Patrol,Jack London,595,11,PS,Category: Short Stories; Category: Adventure; Category: American Literature,1997-05-01,en,auto-scored,1,g911
404,950,"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road",Victor Appleton,595,11,PZ,Children's Book Series; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1997-06-01,en,auto-scored,1,g950
405,2841,The Ivory Child,H. Rider Haggard,595,11,PR,Adventure; Category: Adventure; Category: Novels; Category: British Literature,2006-03-31,en,auto-scored,1,g2841
406,14957,The Brimming Cup,Dorothy Canfield Fisher,594,15,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: American Literature",2005-02-07,en,auto-scored,1,g14957
407,1748,Other People's Money,Emile Gaboriau,594,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",1999-05-01,en,auto-scored,1,g1748
408,25542,Black Oxen,Gertrude Franklin Horn Atherton,592,15,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: American Literature",2008-05-20,en,auto-scored,1,g25542
409,14284,Truxton King: A Story of Graustark,George Barr McCutcheon,591,13,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Adventure; Category: Novels",2004-12-07,en,auto-scored,1,g14284
410,7070,The Treasure of the Incas: A Story of Adventure in Peru,G. A. Henty,591,11,PZ,Children's Fiction; Category: Adventure; Category: Novels,2004-12-01,en,auto-scored,1,g7070
411,2348,The Disappearance of Lady Frances Carfax,Arthur Conan Doyle,590,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2348
412,2019,The Bat,Stephen Vincent Benét,589,11,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2000-01-01,en,auto-scored,1,g2019
413,1603,The Blue Flower,Henry Van Dyke,587,15,PS,"Bestsellers, American, 1895-1923; Category: Short Stories; Category: Novels; Category: American Literature",1999-01-01,en,auto-scored,1,g1603
414,25570,The Manxman : a novel,Sir Hall Caine,587,15,PR,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: British Literature",2008-05-23,en,auto-scored,1,g25570
415,2607,"Psmith, Journalist",P. G. Wodehouse,586,11,PR,"Humor; Category: Crime, Thrillers and Mystery; Category: Humour; Category: Novels; Category: British Literature",2001-04-01,en,auto-scored,1,g2607
