rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
272,new,10897,The Wendigo (novella),Algernon Blackwood,1910,2658,8,short story,weird fiction;horror fiction,yes,g10897
273,new,14833,Varney the Vampire,James Malcolm Rymer,1845,2621,12,novel,Gothic fiction;vampire fiction,yes,g14833
274,new,122,The Return of the Native,Thomas Hardy,1878,2621,10,novel,,yes,g122
275,new,13707,Twice-Told Tales,Nathaniel Hawthorne,1837,2605,10,short story collection,,yes,g13707
276,have,1156,Babbitt,Sinclair Lewis,1922,2599,14,novel,satire,yes,g1156
277,new,5199,South (book),Ernest Shackleton,1919,2598,4,,,yes,g5199
278,have,1074,The Sea-Wolf,Jack London,1904,2597,27,novel,adventure fiction,yes,g1074
279,new,624,Looking Backward,Edward Bellamy,1888,2594,20,novel,political fiction;futuristic fiction;utopian literature,yes,g624
280,new,144,The Voyage Out,Virginia Woolf,1915,2497,12,novel,,yes,g144
281,new,754,The Story of Mankind,Hendrik Willem van Loon,1921,2483,6,,,yes,g754
282,new,15263,The Underground Railroad (Still),William Still,1872,2457,5,,,yes,g15263
283,new,2302,Poor Folk,Fyodor Dostoyevsky,1846,2426,47,novel,,yes,g2302
284,new,1237,Père Goriot,Honoré de Balzac,1835,2421,60,novel,historical fiction,yes,g1237
285,new,60692,The History of the Standard Oil Company,Ida Tarbell,1904,2401,7,,narrative history,yes,g60692
286,new,3796,Rilla of Ingleside,Lucy Maud Montgomery,1921,2388,14,,war novel,yes,g3796
287,new,968,Martin Chuzzlewit,Charles Dickens,1844,2361,22,novel,social criticism,yes,g968
288,new,10150,Dracula's Guest,Bram Stoker,1914,2354,10,short story,horror fiction,yes,g10150
289,new,26624,The Road to Oz,L. Frank Baum,1909,2353,11,novel,children's fiction;fantasy,yes,g26624
290,new,689,The Kreutzer Sonata,Leo Tolstoy,1889,2328,31,novella,historical fiction;romantic fiction,yes,g689
291,new,14872,The Tale of Squirrel Nutkin,Beatrix Potter,1903,2324,6,,fiction,yes,g14872
292,new,220,The Secret Sharer,Joseph Conrad,1912,2322,6,novel,nautical fiction,yes,g220
293,new,3155,She: A History of Adventure,H. Rider Haggard,1887,2317,28,novel,fantasy;lost world fiction;Gothic fiction;adventure fiction,yes,g3155
294,new,416,"Winesburg, Ohio",Sherwood Anderson,1919,2316,19,short story collection,short story cycle,yes,g416
295,new,134,"Maria: or, The Wrongs of Woman",Mary Wollstonecraft,1798,2306,13,,Gothic novel,yes,g134
296,new,21816,The Confidence-Man,Herman Melville,1857,2301,7,novel,satire,yes,g21816
297,new,917,Barnaby Rudge,Charles Dickens,1840,2281,24,novel,historical fiction,yes,g917
298,have,543,Main Street,Sinclair Lewis,,2277,,,,no,g543
299,new,1093,The Beast in the Jungle,Henry James,1903,2270,6,novella,fiction literature,yes,g1093
300,have,95,The prisoner of Zenda,Anthony Hope,1894,2255,28,novel,cloak and dagger novel;romantic fiction;adventure fiction,yes,g95
301,have,1937,The Second Jungle Book,Rudyard Kipling,1895,2255,13,,children's fiction,yes,g1937
302,new,24,O Pioneers!,Willa Cather,1913,2234,9,,historical fiction,yes,g24
303,new,1938,Resurrection (Tolstoy novel),Leo Tolstoy,1899,2230,44,novel,political fiction;philosophical fiction;social fiction,yes,g1938
304,have,21959,Letters from a Self-Made Merchant to His Son,George Horace Lorimer,,2228,,,,no,g21959
305,have,1900,Typee: A Romance of the South Seas,Herman Melville,1846,2227,17,novel,travel literature,yes,g1900
306,new,351,Of Human Bondage,William Somerset Maugham,1915,2226,24,novel,Bildungsroman,yes,g351
307,new,22914,The Sceptical Chymist,Robert Boyle,1661,2213,19,,,yes,g22914
308,new,1965,Captain Blood (novel),Rafael Sabatini,1922,2188,17,novel,historical fiction;adventure fiction;pirate fiction,yes,g1965
309,new,37536,The House of the Dead (novel),Fyodor Dostoyevsky,1862,2182,42,novel,serialized fiction,yes,g37536
310,new,479,Little Lord Fauntleroy,Frances Hodgson Burnett,1885,2180,30,,children's fiction,yes,g479
311,have,2988,Mark Twain: A Biography. Complete,Albert Bigelow Paine,,2152,,,,no,g2988
312,new,61236,Emily of New Moon,Lucy Maud Montgomery,1923,2145,21,novel,children's fiction,yes,g61236
313,new,6124,"Pamela; or, Virtue Rewarded",Samuel Richardson,1740,2143,18,novel,epistolary novel;education novel,yes,g6124
314,have,1298,The Virginian: A Horseman of the Plains,Owen Wister,,2142,,,,no,g1298
315,new,1164,The Iron Heel,Jack London,1908,2136,25,novel,science fiction;political fiction;dystopian fiction,yes,g1164
316,new,30486,Shirley (novel),Charlotte Brontë,1849,2132,20,novel,social fiction,yes,g30486
317,new,608,Areopagitica,John Milton,1644,2116,30,,polemic;pamphlet,yes,g608
318,new,14363,The Worst Journey in the World,Apsley Cherry-Garrard,1922,2100,11,,memoir,yes,g14363
319,new,7469,Daniel Deronda,George Eliot,1876,2085,15,novel,Bildungsroman,yes,g7469
320,new,66887,The History of Trade Unionism,Beatrice Webb & Sidney Webb,1894,2065,1,,,yes,g66887
321,new,2149,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,1838,2064,29,novel,lost world fiction;nautical fiction;Gothic fiction,yes,g2149
322,new,773,Lord Arthur Savile's Crime and Other Stories,Oscar Wilde,1891,2060,12,short story collection,children's and young adult literature,yes,g773
323,new,172,The Haunted Bookshop,Christopher Morley,1919,2054,2,novel,thriller,yes,g172
324,have,1300,Riders of the Purple Sage,Zane Grey,,2019,,,,no,g1300
325,new,4240,Women in Love,D. H. Lawrence,1920,2014,14,,modernist literature;LGBT-related literature;psychological fiction,yes,g4240
326,have,903,The White Company,Arthur Conan Doyle,,2013,,,,no,g903
327,new,986,Master and Man (short story),Leo Tolstoy,1895,2012,13,short story;novella,,yes,g986
328,have,22066,The Long Roll,Mary Johnston,,2010,,,,no,g22066
329,new,5231,The Way We Live Now,Anthony Trollope,1875,2005,3,novel,satire,yes,g5231
330,new,767,Agnes Grey,Q44520,1847,1999,29,novel,,yes,g767
331,new,41085,La Vita Nuova,Dante Alighieri,1295,1982,32,prose,autobiography;chivalric romance,yes,g41085
332,new,26732,Free Air,Sinclair Lewis,1919,1981,4,novel,,yes,g26732
333,new,1245,Night and Day (Woolf novel),Virginia Woolf,1919,1980,12,novel,,yes,g1245
334,new,1640,Lilith (novel),George MacDonald,1895,1918,6,novel,fantasy;vampire fiction,yes,g1640
335,new,396,"The Lady, or the Tiger?",Frank R. Stockton,1882,1915,12,short story,,yes,g396
336,new,432,The Ambassadors (novel),Henry James,1903,1914,14,novel,social novel;psychological fiction,yes,g432
337,new,67332,The Psychopathology of Everyday Life,Sigmund Freud,1901,1909,17,,psychoanalysis,yes,g67332
338,new,56644,Bulfinch's Mythology,Thomas Bulfinch,1855,1908,1,,,yes,g56644
339,new,165,McTeague,Frank Norris,1899,1907,5,novel,,yes,g165
340,new,61364,Crystallizing Public Opinion,Edward Bernays,1923,1891,4,,,yes,g61364
341,new,8164,My Man Jeeves,P. G. Wodehouse,1919,1883,7,short story collection,comedy,yes,g8164
342,have,1951,The Coming Race,Baron Edward Bulwer Lytton Lytton,,1878,,,,no,g1951
343,have,2609,The Vicomte de Bragelonne,Alexandre Dumas,,1856,,,,no,g2609
344,new,52868,Japanese Homes and Their Surroundings,Edward S. Morse,1885,1844,4,,,yes,g52868
345,new,32338,Toilers of the Sea,Q535,1866,1838,26,novel,,yes,g32338
346,new,2153,Mary Barton,Elizabeth Gaskell,1848,1831,10,novel,,yes,g2153
347,have,615,Orlando Furioso,Lodovico Ariosto,,1827,,,,no,g615
348,new,5998,Waverley (novel),Walter Scott,1814,1799,23,,picaresque novel;historical fiction;Bildungsroman,yes,g5998
349,new,81,The Return of Tarzan,Edgar Rice Burroughs,1915,1794,13,novel,fantasy;adventure fiction,yes,g81
350,new,28948,The Rainbow,D. H. Lawrence,1915,1794,13,novel,family saga,yes,g28948
351,new,43711,A History of Chinese Literature,Herbert Giles,1901,1791,2,,,yes,g43711
352,have,169,The Well at the World's End: A Tale,William Morris,1896,1773,7,novel,fantasy;high fantasy,yes,g169
353,have,7100,"Adventures of Huckleberry Finn, Chapters 01 to 05",Mark Twain,,1763,,,,no,g7100
354,new,28961,Heart (novel),Edmondo de Amicis,1886,1750,32,novel,children's fiction,yes,g28961
355,new,4274,Wives and Daughters,Elizabeth Gaskell,1864,1727,11,novel,,yes,g4274
356,new,59254,The Inimitable Jeeves,P. G. Wodehouse,1923,1723,8,short story collection,comedy,yes,g59254
357,have,964,The Merry Adventures of Robin Hood,Howard Pyle,,1722,,,,no,g964
358,new,61077,The King of Elfland's Daughter,"Edward Plunkett, 18th Baron of Dunsany",1924,1706,10,novel,fantasy,yes,g61077
359,have,7025,Rob Roy — Complete,Walter Scott,,1696,,,,no,g7025
360,new,53964,The Sins of the Cities of the Plain,,1881,1690,6,novel,erotica;LGBT-related literature,yes,g53964
361,new,914,The Uncommercial Traveller,Charles Dickens,1875,1690,4,,,yes,g914
362,new,66073,Death in Venice,Thomas Mann,1912,1679,46,novella,,yes,g66073
363,new,2667,The Vicar of Wakefield,Oliver Goldsmith,1766,1664,17,novel,sentimental novel,yes,g2667
364,new,6053,Evelina,Frances Burney,1778,1654,9,novel,epistolary novel,yes,g6053
365,new,3020,Table-Talk,William Hazlitt,1821,1648,2,,cultural criticism;social criticism,yes,g3020
366,have,559,Greenmantle,John Buchan,1916,1626,5,novel,adventure fiction;military fiction,yes,g559
367,new,64365,Anne of Green Gables,Lucy Maud Montgomery,1908,1620,51,,developmental novel;children's fiction,yes,g64365
368,new,370,Moll Flanders,Daniel Defoe,1722,1613,28,novel,picaresque novel,yes,g370
369,new,1840,The Financier,Theodore Dreiser,1912,1613,10,novel,,yes,g1840
370,new,1696,The Club of Queer Trades,G. K. Chesterton,1905,1612,4,short story collection,crime fiction,yes,g1696
371,new,61085,In Our Time (short story collection),Ernest Hemingway,1925,1611,18,short story collection,fiction,yes,g61085
372,have,106,Jungle Tales of Tarzan,Edgar Rice Burroughs,,1607,,,,no,g106
373,have,792,"Wieland; Or, The Transformation: An American Tale",Charles Brockden Brown,,1607,,,,no,g792
374,new,58360,The Book of the Thousand Nights and a Night,,1885,1599,4,,fantasy;Arabic literature,yes,g58360
375,have,5342,The Story Girl,L. M. Montgomery,,1599,,,,no,g5342
376,new,2270,First Folio,William Shakespeare,1623,1597,35,,English Renaissance theatre,yes,g2270
377,new,15137,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,1905,1593,6,,children's literature,yes,g15137
378,new,8118,Redburn,Herman Melville,1849,1591,7,novel,,yes,g8118
379,new,57795,The Sacred Wood,T. S. Eliot,1920,1583,2,,,yes,g57795
380,have,498,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,1903,1577,7,novel,Bildungsroman,yes,g498
381,have,1712,The Rescue: A Romance of the Shallows,Joseph Conrad,,1577,,,,no,g1712
382,new,60093,Cane (novel),Jean Toomer,1923,1575,4,novel,,yes,g60093
383,have,123,At the Earth's Core,Edgar Rice Burroughs,1914,1572,7,novel,science fiction;fantasy;adventure fiction,yes,g123
384,have,91,Tom Sawyer Abroad,Mark Twain,,1552,,,,no,g91
385,new,3499,Jo's Boys,Louisa May Alcott,1886,1542,13,,children's fiction,yes,g3499
386,new,2892,Irish Fairy Tales,James Stephens,1920,1539,4,,folklore,yes,g2892
387,new,3031,"Lobo, the King of Currumpaw",Ernest Thompson Seton,1898,1528,13,short story,,yes,g3031
388,new,3261,News from Nowhere,William Morris,1890,1522,11,novel,social science fiction;political fiction;futuristic fiction;time-travel fiction;utopian literature,yes,g3261
389,new,913,A Hero of Our Time,Mikhail Lermontov,1840,1515,36,novel,psychological fiction,yes,g913
390,new,8395,The Gods of Pegāna,"Edward Plunkett, 18th Baron of Dunsany",1905,1499,8,short story,fantasy,yes,g8395
391,have,1720,The Man Who Knew Too Much,G. K. Chesterton,1922,1495,7,short story collection,detective fiction,yes,g1720
392,have,710,"Love of Life, and Other Stories",Jack London,,1486,,,,no,g710
393,new,17731,"The Nigger of the ""Narcissus""",Joseph Conrad,1897,1485,15,novel;novella,,yes,g17731
394,new,23428,The Conquest of Bread,Peter Kropotkin,1892,1483,27,,political philosophy,yes,g23428
395,new,70841,Robinson Crusoe,Daniel Defoe,1719,1481,99,novel,robinsonade;developmental novel;adventure fiction;pirate fiction,yes,g70841
396,new,14868,The Tailor of Gloucester,Beatrix Potter,1903,1481,7,,Christmas fiction,yes,g14868
397,new,36483,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1790,1475,27,novel,Bildungsroman;developmental novel,yes,g36483
398,have,646,The Coral Island: A Tale of the Pacific Ocean,R. M. Ballantyne,,1468,,,,no,g646
399,have,525,"Youth, a Narrative",Joseph Conrad,1898,1463,13,short story,frame story,yes,g525
400,new,5670,Jacob's Room,Virginia Woolf,1922,1462,13,novel,,yes,g5670
401,have,770,The Story of the Treasure Seekers,E. Nesbit,1899,1454,6,novel,,yes,g770
402,new,20657,Tales from Shakespeare,Charles Lamb & Mary Lamb,1807,1452,19,short story collection,,yes,g20657
403,new,367,The Country of the Pointed Firs,Sarah Orne Jewett,1896,1451,3,novel,,yes,g367
404,new,2834,The Portrait of a Lady,Henry James,1881,1450,27,novel,,yes,g2834
405,new,1028,The Professor (novel),Charlotte Brontë,1857,1448,14,novel,,yes,g1028
406,new,836,The Phoenix and the Carpet,Edith Nesbit,1904,1447,5,novel,fantasy,yes,g836
407,have,2710,Louise de la Vallière,Alexandre Dumas,,1445,,,,no,g2710
408,new,64682,The Painted Veil (novel),William Somerset Maugham,1925,1441,19,novel,,yes,g64682
409,new,1202,Tales of Unrest,Joseph Conrad,1898,1437,7,short story collection,,yes,g1202
410,new,5265,The Ball and the Cross,G. K. Chesterton,1909,1437,5,novel,,yes,g5265
411,new,6695,Tales of the Jazz Age,F. Scott Fitzgerald,1922,1435,6,short story collection,,yes,g6695
412,new,6626,Thérèse Raquin,Émile Zola,1869,1434,29,novel,psychological fiction,yes,g6626
413,new,2804,Rose in Bloom,Louisa May Alcott,1876,1433,4,novel,,yes,g2804
414,new,517,The Emerald City of Oz,L. Frank Baum,1910,1429,11,novel,fantasy;children's fiction,yes,g517
415,have,3285,The Deerslayer,James Fenimore Cooper,1841,1428,15,novel,historical fiction;adventure fiction,yes,g3285
416,new,154,The Rise of Silas Lapham,William Dean Howells,1885,1414,3,novel,,yes,g154
417,have,1258,Ten Years Later,Alexandre Dumas,,1407,,,,no,g1258
418,new,6406,The Monastery: A Romance,Walter Scott,1820,1395,8,novel,historical fiction,yes,g6406
419,new,1178,Constitution of the Lacedaemonians,Xenophon,-40,1394,15,prose,treatise,yes,g1178
420,new,1493,Legends of the Jews,Louis Ginzberg,1909,1388,3,,,yes,g1493
421,new,1441,The Story of an African Farm,Olive Schreiner,1883,1387,4,novel,,yes,g1441
422,new,1438,No Name (novel),Wilkie Collins,1862,1385,4,,sensation fiction;mystery fiction,yes,g1438
423,new,3409,Barchester Towers,Anthony Trollope,1857,1384,3,novel,,yes,g3409
424,new,9404,The Story of the Malakand Field Force,Winston Churchill,1898,1371,10,,,yes,g9404
425,new,1290,Salammbô,Gustave Flaubert,1862,1369,34,novel,historical fiction,yes,g1290
426,new,4368,Flappers and Philosophers,F. Scott Fitzgerald,1920,1369,5,short story collection,,yes,g4368
427,have,832,Robin Hood,J. Walker McSpadden,,1367,,,,no,g832
428,new,15114,The Laws of Thought,Q134661,1854,1366,4,,,yes,g15114
429,new,1019,"Poems by Currer, Ellis, and Acton Bell",Charlotte Brontë & Emily Brontë & Q44520,1846,1364,9,,,yes,g1019
430,new,27884,Niels Klim's Underground Travels,Ludvig Holberg,1741,1359,14,novel,science fiction;fantasy;satirical fiction,yes,g27884
431,new,13468,The New Jerusalem (Chesterton book),G. K. Chesterton,1920,1353,1,,,yes,g13468
432,new,20179,Ship of Fools (satire),Sebastian Brant,1494,1352,23,,satire;narrative poetry,yes,g20179
433,new,3608,The Ragged-Trousered Philanthropists,Robert Tressell,1914,1348,4,novel,autobiographical novel,yes,g3608
434,new,5348,Ragged Dick,Horatio Alger,1868,1346,4,novel,,yes,g5348
435,new,268,The Octopus: A Story of California,Frank Norris,1901,1341,2,novel,,yes,g268
436,new,1162,The Star Rover,Jack London,1915,1337,22,novel,fantasy,yes,g1162
437,new,873,A House of Pomegranates,Oscar Wilde,1891,1337,19,short story collection,literary fairy tale,yes,g873
438,new,965,The Black Tulip,Alexandre Dumas,1850,1332,25,novel,historical fiction,yes,g965
439,have,85,The Beasts of Tarzan,Edgar Rice Burroughs,,1327,,,,no,g85
440,have,837,The Story of the Amulet,E. Nesbit,1906,1303,6,novel,fantasy;children's fiction,yes,g837
441,new,54672,The Indiscreet Jewels,Denis Diderot,1748,1293,14,novel,roman à clef;erotic literature;libertine novel,yes,g54672
442,new,1860,Westward Ho! (novel),Charles Kingsley,1855,1288,5,novel,,yes,g1860
443,new,1424,Castle Rackrent,Maria Edgeworth,1800,1286,8,novel,historical fiction;political fiction,yes,g1424
444,new,1715,Eugénie Grandet,Honoré de Balzac,1833,1284,30,novel,realist novel,yes,g1715
445,new,11323,"Things as They Are; or, The Adventures of Caleb Williams",William Godwin,1794,1282,4,novel,Jacobin novel,yes,g11323
446,new,2081,The Blithedale Romance,Nathaniel Hawthorne,1852,1279,5,novel,fantasy;romantic fiction,yes,g2081
447,have,2276,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,,1270,,,,no,g2276
448,new,2480,Under Western Eyes (novel),Joseph Conrad,1911,1265,8,novel,,yes,g2480
449,new,30852,The Tin Woodman of Oz,L. Frank Baum,1918,1264,6,novel,fantasy,yes,g30852
450,have,39858,Trilby,George Du Maurier,1894,1263,7,novel,Gothic fiction,yes,g39858
451,new,32242,A Wonder-Book for Girls and Boys,Nathaniel Hawthorne,1851,1256,3,short story collection,,yes,g32242
452,have,402,Penrod,Booth Tarkington,1914,1252,2,novel,,yes,g402
453,new,126,The Poison Belt,Arthur Conan Doyle,1913,1250,17,novel,science fiction,yes,g126
454,have,1377,The Talisman,Walter Scott,1825,1241,15,novel,historical fiction,yes,g1377
455,new,75485,The Secret Commonwealth (folklore collection),Robert Kirk,1815,1236,1,,folklore collection,yes,g75485
456,have,7193,"The Adventures of Tom Sawyer, Part 1.",Mark Twain,,1233,,,,no,g7193
457,new,27690,Nobody's Girl (novel),Hector Malot,1893,1227,10,novel,Bildungsroman,yes,g27690
458,have,1947,Scaramouche: A Romance of the French Revolution,Rafael Sabatini,,1227,,,,no,g1947
459,have,1024,The Wrecker,Robert Louis Stevenson,1892,1225,5,novel,adventure fiction,yes,g1024
460,new,4084,The Adventures of Peregrine Pickle,Tobias Smollett,1751,1222,5,novel,,yes,g4084
461,have,1027,The Lone Star Ranger: A Romance of the Border,Zane Grey,,1221,,,,no,g1027
462,new,2084,The Way of All Flesh,Samuel Butler,1903,1218,15,novel,,yes,g2084
463,have,25702,The Kingdom Round the Corner: A Novel,Coningsby Dawson,,1213,,,,no,g25702
464,new,61620,The Curse of Capistrano,Johnston McCulley,1919,1210,13,novel,historical fiction;cloak and dagger novel;adventure fiction,yes,g61620
465,new,3045,The Last Chronicle of Barset,Anthony Trollope,1866,1205,2,novel,,yes,g3045
466,have,711,Allan Quatermain,H. Rider Haggard,,1205,,,,no,g711
467,new,19229,Anticipations,H. G. Wells,1901,1204,2,,,yes,g19229
468,new,47501,Married Love,Marie Stopes,1918,1203,8,,sex manual,yes,g47501
469,new,14220,The Tale of the Flopsy Bunnies,Beatrix Potter,1909,1202,7,,children's literature,yes,g14220
470,new,60547,Studies in Classic American Literature,D. H. Lawrence,1923,1202,2,,literary criticism,yes,g60547
471,new,13534,Past and Present (book),Thomas Carlyle,1843,1192,2,,,yes,g13534
472,new,19500,Can You Forgive Her?,Anthony Trollope,1864,1190,2,novel,,yes,g19500
473,have,294,"The Captain of the Polestar, and Other Tales",Arthur Conan Doyle,,1185,,,,no,g294
474,new,60067,Leave It to Psmith,P. G. Wodehouse,1923,1184,3,novel,comedy,yes,g60067
475,new,7381,The Eustace Diamonds,Anthony Trollope,1872,1179,2,novel,,yes,g7381
476,new,42401,Vathek,William Beckford,1786,1175,15,novel;narration,fiction;fantasy;Gothic fiction;Oriental fantasy,yes,g42401
477,new,35155,The Betrothed,Alessandro Manzoni,1827,1173,38,novel,historical fiction;romantic fiction,yes,g35155
478,have,1142,Typhoon,Joseph Conrad,,1173,,,,no,g1142
479,have,3154,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,,1172,,,,no,g3154
480,new,13159,Illusions perdues,Honoré de Balzac,1837,1164,26,novel,Bildungsroman,yes,g13159
481,new,344,The Merry Men and Other Tales and Fables,Robert Louis Stevenson,1887,1159,6,short story collection,,yes,g344
482,new,301,The Ballad of Reading Gaol,Oscar Wilde,1898,1158,17,,narrative poetry;long poem,yes,g301
483,new,29257,The Book of Khalid,Ameen Fares Rihani,1911,1158,3,,Bildungsroman,yes,g29257
484,have,5164,The Beetle: A Mystery,Richard Marsh,1897,1157,3,novel,fantasy;horror fiction,yes,g5164
485,have,1154,The Voyages of Doctor Dolittle,Hugh Lofting,1922,1153,7,novel,fantasy,yes,g1154
486,new,13416,The Darling (short story),Anton Chekhov,1899,1149,10,short story,,yes,g13416
487,new,21970,The Scarlet Plague,Jack London,1912,1146,25,novel,science fiction,yes,g21970
488,new,30344,Roxana: The Fortunate Mistress,Daniel Defoe,1724,1141,6,novel,,yes,g30344
489,new,1999,Crome Yellow,Aldous Huxley,1921,1138,7,novel,,yes,g1999
490,have,1895,Armadale,Wilkie Collins,,1138,,,,no,g1895
491,new,701,The King of the Golden River,John Ruskin,1842,1136,7,novel;short story;novella,fantasy,yes,g701
492,new,1565,The Last Days of Pompeii,Edward Bulwer-Lytton,1834,1132,18,novel,historical fiction,yes,g1565
493,have,93,"Tom Sawyer, Detective",Mark Twain,1896,1132,12,novel,mystery fiction;children's fiction,yes,g93
494,have,2845,Sir Nigel,Arthur Conan Doyle,,1132,,,,no,g2845
495,new,54710,The Shame of the Cities,Lincoln Steffens,1904,1128,3,,,yes,g54710
496,new,2948,Where Angels Fear to Tread,E. M. Forster,1905,1127,6,novel,,yes,g2948
497,new,4737,A Tale of a Tub,Jonathan Swift,1704,1126,11,novel,satire,yes,g4737
498,new,2275,The Pioneers (novel),James Fenimore Cooper,1823,1117,14,novel,historical fiction,yes,g2275
499,new,176,Roderick Hudson,Henry James,1875,1117,8,novel,Bildungsroman,yes,g176
500,new,2726,Eight Cousins,Louisa May Alcott,1875,1116,9,novel,,yes,g2726
501,new,3781,The Jewel of Seven Stars,Bram Stoker,1903,1113,14,novel,horror fiction,yes,g3781
502,have,1622,The Law and the Lady,Wilkie Collins,,1110,,,,no,g1622
503,new,10832,"Carnacki, the Ghost-Finder",William Hope Hodgson,1913,1107,1,short story collection,detective fiction;weird fiction;supernatural fiction;occult detective fiction;horror fiction,yes,g10832
504,new,18640,Phineas Redux,Anthony Trollope,1874,1103,3,novel,,yes,g18640
505,new,11052,The Custom of the Country,Edith Wharton,1913,1099,3,novel,,yes,g11052
506,new,5247,The Old Wives' Tale,Arnold Bennett,1908,1097,5,novel,,yes,g5247
507,new,70128,Max Havelaar,Multatuli,1860,1093,32,novel,political fiction;double novel,yes,g70128
508,new,4313,The Odd Women,George Gissing,1893,1091,2,novel,,yes,g4313
509,new,1307,La Peau de chagrin,Honoré de Balzac,1831,1087,32,novel,fantastique,yes,g1307
510,have,765,The Moon Pool,Abraham Merritt,,1082,,,,no,g765
511,new,1449,The Valley of the Moon (novel),Jack London,1913,1081,14,novel,,yes,g1449
512,new,395,The Holy War,John Bunyan,1682,1081,5,novel,fantasy,yes,g395
513,have,506,The Shuttle,Frances Hodgson Burnett,,1079,,,,no,g506
514,new,9840,Vivian Grey,Benjamin Disraeli,1826,1075,3,novel,,yes,g9840
515,new,780,The War in the Air,H. G. Wells,1908,1074,13,novel,science fiction;apocalyptic fiction,yes,g780
516,new,7477,The Book of Wonder,"Edward Plunkett, 18th Baron of Dunsany",1912,1072,3,short story,fantasy,yes,g7477
517,new,24020,Romola,George Eliot,1862,1071,11,novel,historical fiction,yes,g24020
518,have,1557,Men of Iron,Howard Pyle,,1071,,,,no,g1557
519,have,238,Dear Enemy,Jean Webster,1915,1070,7,novel,epistolary novel,yes,g238
520,have,170,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,,1069,,,,no,g170
521,have,520,The Life and Adventures of Santa Claus,L. Frank Baum,1912,1067,6,,origin story;children's fiction,yes,g520
522,new,42455,The Mystery of the Sea,Bram Stoker,1902,1065,5,novel,political thriller,yes,g42455
523,new,1709,New Grub Street,George Gissing,1891,1063,3,novel,,yes,g1709
524,have,1188,The Lair of the White Worm,Bram Stoker,1911,1060,8,novel,fantasy;horror fiction,yes,g1188
525,have,96,The Monster Men,Edgar Rice Burroughs,1929,1058,3,novel,science fiction,yes,g96
526,have,2346,The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle,1908,1057,22,novelette,detective fiction;crime fiction,yes,g2346
527,new,10935,The Wonderful Adventures of Nils,Selma Lagerlöf,1906,1054,45,novel,fantasy,yes,g10935
528,have,4047,The Leavenworth Case,Anna Katharine Green,,1053,,,,no,g4047
529,new,2440,The Naturalist on the River Amazons,Henry Walter Bates,1863,1052,6,,,yes,g2440
530,new,57819,Other People's Money and How the Bankers Use It,Louis Brandeis,1914,1052,3,,,yes,g57819
531,new,2786,Jack and Jill: A Village Story,Louisa May Alcott,1880,1046,5,,children's fiction,yes,g2786
532,new,25876,The House with the Green Shutters,George Douglas Brown,1901,1042,1,novel,,yes,g25876
533,new,4540,In His Steps,Charles Monroe Sheldon,1896,1037,3,novel,,yes,g4540
534,new,423,Round the Red Lamp,Arthur Conan Doyle,1894,1030,3,short story collection,medical fiction,yes,g423
535,new,4090,From Ritual to Romance,Q3808161,1920,1030,1,,,yes,g4090
536,new,211,The Aspern Papers,Henry James,1888,1028,15,novel;novella,,yes,g211
537,new,3431,The Gadfly,Ethel Lilian Voynich,1897,1023,26,novel,romantic fiction,yes,g3431
538,new,804,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,1020,21,novel,imaginary voyage,yes,g804
539,new,329,Island Nights' Entertainments,Robert Louis Stevenson,1893,1019,4,short story collection,,yes,g329
540,new,6424,A Modern Utopia,H. G. Wells,1905,1015,9,novel,,yes,g6424
541,have,4014,Arsène Lupin,Maurice Leblanc,,1014,,,,no,g4014
542,new,7371,A Sicilian Romance,Ann Radcliffe,1790,1013,8,novel,romance novel;horror fiction;Gothic fiction,yes,g7371
543,new,2860,Framley Parsonage,Anthony Trollope,1861,1013,3,novel,,yes,g2860
544,have,561,The Further Adventures of Robinson Crusoe,Daniel Defoe,1719,1012,12,,historical fiction;adventure fiction,yes,g561
545,new,1845,Zuleika Dobson,Max Beerbohm,1911,1009,6,novel,satire,yes,g1845
546,new,1018,The Water-Babies,Charles Kingsley,1863,1005,16,novel,fantasy;children's fiction,yes,g1018
547,new,17089,The Tale of Mrs. Tittlemouse,Beatrix Potter,1910,1002,6,,children's literature,yes,g17089
548,have,1880,"The Pathfinder; Or, The Inland Sea",James Fenimore Cooper,1840,999,11,novel,historical fiction;adventure fiction,yes,g1880
549,have,434,The Circular Staircase,Mary Roberts Rinehart,,997,,,,no,g434
550,new,467,La Princesse de Clèves,Madame de Lafayette,1678,996,23,novel,historical fiction,yes,g467
551,have,2347,The Adventure of the Dying Detective,Arthur Conan Doyle,1913,995,24,short story,detective fiction;crime fiction,yes,g2347
552,new,15575,The Tale of Samuel Whiskers or The Roly-Poly Pudding,Beatrix Potter,1908,995,6,,children's literature,yes,g15575
553,have,3457,The Man of the Forest,Zane Grey,,995,,,,no,g3457
