rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
22,have,601,The Monk: A Romance,M. G. Lewis,1796,54719,18,novel,fantasy;Gothic fiction,yes,g601
23,new,2147,The Mystery of Marie Rogêt,Edgar Allan Poe,1842,54438,29,short story,crime fiction,yes,g2147
24,have,204,The innocence of Father Brown,G. K. Chesterton,,53344,,,,no,g204
25,have,831,Four Arthurian Romances,Chrétien de Troyes,,53258,,,,no,g831
26,have,1184,The Count of Monte Cristo,Alexandre Dumas,1844,53209,,,,no,b33
27,have,863,The Mysterious Affair at Styles,Agatha Christie,1920,53161,44,novel,detective fiction;romantic fiction,yes,g863
28,have,175,The Phantom of the Opera,Gaston Leroux,1910,53126,46,novel,fantasy;mystery fiction;horror fiction;romantic fiction;Gothic fiction,yes,g175
29,have,2097,The Sign of the Four,Arthur Conan Doyle,1890,52332,47,novel,detective fiction;crime fiction,yes,g2097
30,have,108,The Return of Sherlock Holmes,Arthur Conan Doyle,1905,52211,37,short story collection,detective fiction,yes,g108
31,new,68283,The Call of Cthulhu,H. P. Lovecraft,1928,52038,34,short story,science fiction;weird fiction;horror fiction,yes,g68283
32,have,583,The Woman in White,Wilkie Collins,,51733,,,,no,g583
33,have,834,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,,51694,,,,no,g834
34,have,155,The Moonstone,Wilkie Collins,1868,50961,30,novel,fantasy;epistolary novel;crime fiction,yes,g155
35,have,223,The wisdom of Father Brown,G. K. Chesterton,,50651,,,,no,g223
36,have,1063,The Cask of Amontillado,Edgar Allan Poe,,49903,,,,no,g1063
37,have,393,The Blue Lagoon: A Romance,H. De Vere Stacpoole,1908,49758,10,novel,romance,yes,g393
38,new,468,Manon Lescaut,Antoine François Prévost,1731,49485,33,novel,memoir novel;romantic fiction;memoir,yes,g468
39,have,1155,The Secret Adversary,Agatha Christie,1922,48788,27,novel,detective fiction,yes,g1155
40,have,64317,The Great Gatsby,F. Scott Fitzgerald,1925,48709,84,novel,tragedy;Great American Novel,yes,b05
41,have,589,Catriona,Robert Louis Stevenson,1893,48695,10,novel,historical fiction;adventure fiction,yes,g589
42,new,10002,The House on the Borderland,William Hope Hodgson,1908,48309,9,novel,fantasy;weird fiction;horror fiction,yes,g10002
43,new,69700,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,48143,32,short story collection,detective fiction;crime fiction,yes,g69700
44,new,58866,The Murder on the Links,Agatha Christie,1923,48122,30,novel,detective fiction;crime fiction,yes,g58866
45,have,3289,The Valley of Fear,Arthur Conan Doyle,1915,47643,39,novel,detective fiction;crime fiction,yes,g3289
46,new,61168,The Man in the Brown Suit,Agatha Christie,1924,47569,29,novel,thriller;detective fiction;crime fiction,yes,g61168
47,have,560,Mr. Standfast,John Buchan,1919,47388,4,novel,military fiction,yes,g560
48,new,8954,Lady Audley's Secret,Mary Elizabeth Braddon,1862,47288,6,,sensation fiction,yes,g8954
49,have,1259,Twenty years after,Alexandre Dumas,1845,47260,35,novel,cloak and dagger novel;adventure fiction,yes,g1259
50,new,70114,The Big Four (novel),Agatha Christie,1927,47170,31,novel,detective fiction,yes,g70114
51,have,558,The Thirty-Nine Steps,John Buchan,1915,47133,20,novel,mystery fiction;spy fiction,yes,g558
52,have,2350,His last bow,Arthur Conan Doyle,1917,47063,36,short story collection,detective fiction,yes,g2350
53,have,974,The Secret Agent: A Simple Tale,Joseph Conrad,1907,46929,22,novel,spy fiction,yes,g974
54,have,2360,The Riddle of the Sands,Erskine Childers,,46829,,,,no,g2360
55,new,50133,The Dunwich Horror,H. P. Lovecraft,1929,46777,19,short story,science fiction;weird fiction;horror fiction,yes,g50133
56,have,389,The Great God Pan,Arthur Machen,1894,46720,14,novel;novella,weird fiction;horror fiction;folk horror,yes,g389
57,have,2038,The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Various,,46309,,,,no,g2038
58,have,537,Tales of Terror and Mystery,Arthur Conan Doyle,,46136,,,,no,g537
59,new,8486,Ghost Stories of an Antiquary,M. R. James,1904,46088,7,short story collection,horror fiction,yes,g8486
60,have,16389,The Enchanted April,Elizabeth Von Arnim,1923,45914,5,novel,,yes,g16389
61,have,1685,The Mystery of the Yellow Room,Gaston Leroux,,45788,,,,no,g1685
62,new,57669,The Problem of Cell 13,Jacques Futrelle,1905,45768,3,short story,locked room mystery,yes,g57669
63,new,58820,Whose Body?,Dorothy L. Sayers,1923,45718,7,,detective fiction;crime literature,yes,g58820
64,new,30340,The Passionate Friends: A Novel,H. G. Wells,1913,45708,2,novel,,yes,g30340
65,new,28054,The Brothers Karamazov,Fyodor Dostoyevsky,1880,45630,91,novel,serialized fiction;philosophical fiction,yes,g28054
66,have,7735,Paul Clifford — Complete,Baron Edward Bulwer Lytton Lytton,1830,45597,5,novel,,yes,g7735
67,have,15384,The Real Adventure,Henry Kitchell Webster,,45503,,,,no,g15384
68,have,1872,The Red House Mystery,A. A. Milne,1922,45473,5,novel,mystery fiction,yes,g1872
69,have,173,The Insidious Dr. Fu Manchu,Sax Rohmer,1913,45339,3,novel,mystery fiction,yes,g173
70,new,3070,The Hound of the Baskervilles,Arthur Conan Doyle,1902,45308,63,novel,detective fiction;crime fiction;mystery fiction,yes,g3070
71,have,14818,The Daughter of Anderson Crow,George Barr McCutcheon,,44990,,,,no,g14818
72,have,1686,The Secret of the Night,Gaston Leroux,,44948,,,,no,g1686
73,have,2806,"The Phantom 'Rickshaw, and Other Ghost Stories",Rudyard Kipling,,44833,,,,no,g2806
74,have,3321,Children of the Whirlwind,Leroy Scott,,44677,,,,no,g3321
75,have,1931,The Zeppelin's Passenger,E. Phillips Oppenheim,,44607,,,,no,g1931
76,have,2813,The Grand Babylon Hôtel,Arnold Bennett,,44318,,,,no,g2813
77,new,6761,"The Adventures of Ferdinand, Count Fathom",Tobias Smollett,1753,43408,4,novel,,yes,g6761
78,have,174,The Picture of Dorian Gray,Oscar Wilde,1890,43384,,,,no,b11
79,new,2160,The Expedition of Humphry Clinker,Tobias Smollett,1771,42801,6,novel,epistolary novel,yes,g2160
80,have,768,Wuthering Heights,Emily Brontë,1847,41958,,,,no,b08
81,new,4085,The Adventures of Roderick Random,Tobias Smollett,1748,41938,7,novel,,yes,g4085
82,have,98,A Tale of Two Cities,Charles Dickens,1859,40992,65,novel,historical fiction;social fiction,yes,b09
83,have,5200,The Metamorphosis,Franz Kafka,1915,38512,84,novella;Erzählung,absurdist literature;epic literature;body horror literature,yes,b27
84,new,42389,The Pirate (novel),Walter Scott,1822,36867,10,,historical fiction;pirate fiction,yes,g42389
85,new,17460,Lorna Doone,Richard Doddridge Blackmore,1869,36829,14,novel,romantic fiction,yes,g17460
86,new,224,A Pair of Blue Eyes,Thomas Hardy,1873,36459,7,novel,,yes,g224
87,have,4499,Complete Short Works of George Meredith,George Meredith,,36006,,,,no,g4499
88,new,3922,The Red Lily (novel),Anatole France,1894,35345,9,novel,,yes,g3922
89,have,4712,The Landloper: The Romance of a Man on Foot,Holman Day,,35060,,,,no,g4712
90,have,161,Sense and Sensibility,Jane Austen,1811,34708,56,novel,Bildungsroman;romantic fiction,yes,b49
91,new,6768,The Man Upstairs (short story collection),P. G. Wodehouse,1914,33399,2,,humor,yes,g6768
92,have,74,The Adventures of Tom Sawyer,Mark Twain,1876,33203,76,novel;narration,Bildungsroman;adventure fiction,yes,b13
93,new,3044,Desperate Remedies,Thomas Hardy,1871,33129,4,novel,,yes,g3044
94,have,55,The Wonderful Wizard of Oz,L. Frank Baum,1900,33071,,,,no,b21
95,new,9911,First Love (Turgenev novella),Ivan Turgenev,1860,32730,26,novel,short novel,yes,g9911
96,new,3146,Two on a Tower,Thomas Hardy,1882,32722,3,novel,,yes,g3146
97,new,4300,Ulysses (novel),James Joyce,1922,32653,84,novel,autobiography;Bildungsroman;metafiction;modernist literature;serialized fiction;experimental literature;high literature,yes,g4300
98,have,113,The Secret Garden,Frances Hodgson Burnett,1911,32404,,,,no,b23
99,new,15399,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,1789,32350,6,,autobiography,yes,g15399
100,have,103,Around the World in Eighty Days,Jules Verne,1873,31322,,,,no,b35
101,have,76,Adventures of Huckleberry Finn,Mark Twain,1884,31276,,,,no,b12
102,have,1952,The Yellow Wallpaper,Charlotte Perkins Gilman,,29497,,,,no,g1952
103,new,18857,Journey to the Centre of the Earth,Jules Verne,1864,28830,64,novel,adventure;lost world fiction;scientific romance;subterranean fiction;adventure fiction,yes,g18857
104,have,72,"Thuvia, maid of Mars",Edgar Rice Burroughs,,28811,,,,no,g72
105,new,2527,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,28159,64,epistolary novel,epistolary novel;sentimental novel;diary literature,yes,g2527
106,new,766,David Copperfield,Charles Dickens,1850,27631,68,novel,Bildungsroman;autobiographical novel,yes,g766
107,new,52190,Ecce Homo (book),Friedrich Nietzsche,1888,27601,40,posthumous work,autobiography;essay,yes,g52190
108,new,921,De Profundis (letter),Oscar Wilde,1905,27237,20,,epistle,yes,g921
